descriptor_stack,k,system,T_K,snap,dFcorr_true_meVatom,dFcorr_knn_median_meVatom,abs_representation_mismatch_meVatom,median_cross_state_neighbor_distance,neighbor_target_IQR_meVatom
d3_SLE_Voro_q6,10,beta-TiV,600.0,30,6.155984865846509,3.7901351685590696,2.365849697287439,2.7928709866715558,0.39161333336173304
d3_SLE_Voro_q6,10,beta-TiV,600.0,31,5.845202035575814,3.7631859661658162,2.0820160694099976,2.717437759017802,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,32,5.7814302012479395,9.087493476927582,3.3060632756796435,2.8230016324520113,5.402822093565892
d3_SLE_Voro_q6,10,beta-TiV,600.0,33,6.500203304137142,3.7631859661658162,2.737017337971326,2.731110189003505,0.20628394056727145
d3_SLE_Voro_q6,10,beta-TiV,600.0,34,5.987830723545418,3.7631859661658162,2.2246447573796013,2.7235569033148535,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,35,5.901573282763306,3.7839108355957607,2.1176624471675454,2.7619671472204255,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,36,5.578880839614609,3.7839108355957607,1.7949700040188477,2.628928527628722,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,37,5.745708122262439,3.7839108355957607,1.9617972866666777,2.7785764510127136,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,38,5.4533539056126346,3.9816862689844164,1.4716676366282182,2.8164161384948274,5.382609514664869
d3_SLE_Voro_q6,10,beta-TiV,600.0,39,5.903494585061897,3.7631859661658162,2.1403086188960807,2.737430665370884,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,40,6.201784566478519,3.7631859661658162,2.4385986003127025,2.7297031131281866,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,41,6.5583760221754055,3.7631859661658162,2.795190056009589,2.7055190013684145,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,42,5.899191788763137,3.7631859661658162,2.13600582259732,2.654720363034577,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,43,5.99646254869074,3.7839108355957607,2.212551713094979,2.5798749725266106,0.28315634739776996
